"Energiedragers";"Perioden";"Energieaanbod/Totaal aanbod (TPES) (PJ)"
"Totaal kool en koolproducten";"2010";316
"Totaal kool en koolproducten";"2011";311,7
"Totaal kool en koolproducten";"2012";342,5
"Totaal kool en koolproducten";"2013";342,7
"Totaal kool en koolproducten";"2014";379,1
"Totaal kool en koolproducten";"2015";461,1
"Totaal kool en koolproducten";"2016**";427,3
"Totaal kool en koolproducten";"2017**";383
"Totaal aardoliegrondstoffen en producten";"2010";1324,6
"Totaal aardoliegrondstoffen en producten";"2011";1257,5
"Totaal aardoliegrondstoffen en producten";"2012";1273,4
"Totaal aardoliegrondstoffen en producten";"2013";1217,4
"Totaal aardoliegrondstoffen en producten";"2014";1216,4
"Totaal aardoliegrondstoffen en producten";"2015";1195,1
"Totaal aardoliegrondstoffen en producten";"2016**";1217
"Totaal aardoliegrondstoffen en producten";"2017**";1214,4
"Aardgas";"2010";1677,6
"Aardgas";"2011";1467,2
"Aardgas";"2012";1402
"Aardgas";"2013";1397,6
"Aardgas";"2014";1218,4
"Aardgas";"2015";1198,5
"Aardgas";"2016**";1257,2
"Aardgas";"2017**";1298,6
"Hernieuwbare energie";"2010";134,6
"Hernieuwbare energie";"2011";139,7
"Hernieuwbare energie";"2012";147,6
"Hernieuwbare energie";"2013";145,7
"Hernieuwbare energie";"2014";145,5
"Hernieuwbare energie";"2015";154,2
"Hernieuwbare energie";"2016**";158,3
"Hernieuwbare energie";"2017**";173,5
"Kernenergie";"2010";38,4
"Kernenergie";"2011";40,2
"Kernenergie";"2012";38,5
"Kernenergie";"2013";27,6
"Kernenergie";"2014";39,4
"Kernenergie";"2015";39,2
"Kernenergie";"2016**";38,4
"Kernenergie";"2017**";33,1
"Niet biogeen huish. afval en reststoom";"2010";35
"Niet biogeen huish. afval en reststoom";"2011";36,2
"Niet biogeen huish. afval en reststoom";"2012";36
"Niet biogeen huish. afval en reststoom";"2013";37,8
"Niet biogeen huish. afval en reststoom";"2014";39,3
"Niet biogeen huish. afval en reststoom";"2015";38,3
"Niet biogeen huish. afval en reststoom";"2016**";40,4
"Niet biogeen huish. afval en reststoom";"2017**";38,9
"Energie uit overige bronnen";"2010";2,1
"Energie uit overige bronnen";"2011";2,4
"Energie uit overige bronnen";"2012";4
"Energie uit overige bronnen";"2013";3,9
"Energie uit overige bronnen";"2014";2,8
"Energie uit overige bronnen";"2015";3,6
"Energie uit overige bronnen";"2016**";2,7
"Energie uit overige bronnen";"2017**";3,7
"Elektriciteit";"2010";10
"Elektriciteit";"2011";32,7
"Elektriciteit";"2012";61,6
"Elektriciteit";"2013";65,7
"Elektriciteit";"2014";53
"Elektriciteit";"2015";31,5
"Elektriciteit";"2016**";17,7
"Elektriciteit";"2017**";12,6
